Customer ID,cluster,cluster_label
12347.0,0,Potential
12348.0,3,Potential
12350.0,3,Potential
12352.0,3,Potential
12355.0,3,Potential
12356.0,3,Potential
12357.0,3,Potential
12358.0,0,Potential
12359.0,0,Potential
12362.0,0,Potential
12363.0,3,Potential
12364.0,3,Potential
12367.0,3,Potential
12370.0,3,Potential
12371.0,3,Potential
12372.0,3,Potential
12373.0,3,Potential
12375.0,0,Potential
12378.0,3,Potential
12379.0,3,Potential
12380.0,3,Potential
12381.0,0,Potential
12383.0,0,Potential
12384.0,3,Potential
12386.0,0,Potential
12388.0,3,Potential
12393.0,3,Potential
12394.0,3,Potential
12395.0,0,Potential
12397.0,3,Potential
12399.0,3,Potential
12401.0,3,Potential
12406.0,3,Potential
12407.0,3,Potential
12408.0,3,Potential
12409.0,2,Champions
12410.0,0,Potential
12413.0,0,Potential
12414.0,3,Potential
12415.0,2,Champions
12417.0,0,Potential
12420.0,3,Potential
12422.0,3,Potential
12423.0,0,Potential
12427.0,0,Potential
12428.0,0,Potential
12429.0,3,Potential
12431.0,0,Potential
12433.0,0,Potential
12434.0,3,Potential
12436.0,3,Potential
12437.0,0,Potential
12441.0,3,Potential
12442.0,3,Potential
12444.0,3,Potential
12447.0,3,Potential
12449.0,0,Potential
12450.0,3,Potential
12451.0,3,Potential
12455.0,3,Potential
12457.0,0,Potential
12461.0,3,Potential
12462.0,3,Potential
12463.0,3,Potential
12464.0,3,Potential
12465.0,3,Potential
12468.0,3,Potential
12471.0,0,Potential
12472.0,0,Potential
12473.0,0,Potential
12474.0,0,Potential
12476.0,3,Potential
12477.0,0,Potential
12478.0,3,Potential
12479.0,3,Potential
12480.0,0,Potential
12481.0,0,Potential
12483.0,0,Potential
12484.0,3,Potential
12489.0,3,Potential
12490.0,0,Potential
12491.0,3,Potential
12492.0,3,Potential
12494.0,0,Potential
12500.0,3,Potential
12501.0,3,Potential
12502.0,3,Potential
12503.0,3,Potential
12504.0,3,Potential
12505.0,3,Potential
12507.0,3,Potential
12508.0,3,Potential
