Customer ID,recency_days,frequency,monetary,aov,avg_days_between,tenure_days,clv_simple_predict,spend_30d,spend_90d,spend_365d,r_score,f_score,m_score,rfm_sum,rfm_score,segment
12347.0,96,5,2541.25,508.25,104.75,517,1312.5538020086083,,,1829.46,3,4,4,11,344,Champions
12348.0,221,1,343.98,343.98,,221,177.6654232424677,,,343.98,1,1,2,4,112,AtRisk
12350.0,312,1,311.38,311.38,,312,160.82754662840745,,,311.38,1,1,2,4,112,AtRisk
12352.0,275,5,370.04,74.00800000000001,16.5,342,191.12539454806316,,,370.04,1,4,2,7,142,Others
12355.0,97,1,459.40000000000003,459.40000000000003,,97,237.27977044476327,,,459.40000000000003,3,1,3,7,313,BigSpenders
12356.0,129,1,481.46000000000004,481.46000000000004,,129,248.67374461979915,,,481.46000000000004,2,1,3,6,213,BigSpenders
12357.0,183,1,6199.650000000001,6199.650000000001,,183,3202.1147776183643,,,6199.650000000001,2,1,4,7,214,BigSpenders
12358.0,4,2,1029.94,514.97,116.0,121,531.9632711621234,438.82000000000005,438.82000000000005,1029.94,4,2,4,10,424,Champions
12359.0,10,4,2736.91,684.2275,97.0,302,1413.6120516499282,331.46,331.46,2736.91,4,4,4,12,444,Champions
12362.0,31,5,2139.05,427.81000000000006,52.75,244,1104.8177905308467,,831.37,2139.05,4,4,4,12,444,Champions
12363.0,37,1,299.1,299.1,,37,154.48493543758966,,299.1,299.1,4,1,2,7,412,Others
12364.0,302,1,310.32,310.32,,302,160.28005738880915,,,310.32,1,1,2,4,112,AtRisk
12367.0,213,1,172.68,172.68,,213,89.18909612625538,,,172.68,2,1,1,4,211,Others
12370.0,69,1,984.47,984.47,,69,508.4780487804877,,984.47,984.47,3,1,3,7,313,BigSpenders
12371.0,31,1,1527.96,1527.96,,31,789.1902439024391,,1527.96,1527.96,4,1,4,9,414,BigSpenders
12372.0,36,1,513.66,513.66,,36,265.3050215208034,,513.66,513.66,4,1,3,8,413,BigSpenders
12373.0,343,1,341.58,341.58,,343,176.42582496413195,,,341.58,1,1,2,4,112,AtRisk
12375.0,152,2,205.20000000000002,102.6,152.0,305,105.98565279770443,,,205.20000000000002,2,2,2,6,222,Others
12378.0,306,1,4031.66,4031.66,,306,2082.3494978479193,,,4031.66,1,1,4,6,114,AtRisk
12379.0,157,1,-1.95,-1.95,,157,-1.007173601147776,,,-1.95,2,1,1,4,211,Others
12380.0,158,1,607.5500000000001,607.5500000000001,,158,313.7991391678623,,,607.5500000000001,2,1,3,6,213,BigSpenders
12381.0,1,5,1638.13,327.626,52.75,213,846.0929698708751,1135.12,1141.12,1638.13,4,4,4,12,444,Champions
12383.0,10,2,750.61,375.305,117.0,127,387.6895265423242,651.16,651.16,750.61,4,2,3,9,423,BigSpenders
12384.0,30,2,493.19,246.59500000000003,33.0,64,254.73228120516498,,493.19,493.19,4,2,3,9,423,BigSpenders
12386.0,193,2,401.9,200.95000000000002,293.0,486,207.58106169296985,,,143.0,2,2,2,6,222,Others
12388.0,99,2,334.95000000000005,167.47500000000002,63.0,162,173.00143472022955,,,334.95000000000005,3,2,2,7,322,Others
12393.0,40,2,884.1,442.05,89.0,129,456.63701578192246,,462.5,884.1,3,2,3,8,323,BigSpenders
12394.0,154,2,1263.3000000000002,631.65,34.0,189,652.4935437589669,,,1263.3000000000002,2,2,4,8,224,BigSpenders
12395.0,6,8,1755.6000000000001,219.45,89.85714285714286,639,906.7661406025823,181.82,413.33,1411.54,4,4,4,12,444,Champions
12397.0,244,1,1195.09,1195.09,,244,617.2631276901003,,,1195.09,1,1,4,6,114,AtRisk
12399.0,3,3,820.6,273.53333333333336,46.0,96,423.83931133428985,209.62,690.52,820.6,4,3,3,10,433,Champions
12401.0,100,1,84.3,84.3,,100,43.540889526542315,,,84.3,3,1,1,5,311,Others
12406.0,94,2,1486.7,743.35,1.0,96,767.8794835007172,,,1486.7,3,2,4,9,324,BigSpenders
12407.0,187,1,723.14,723.14,,187,373.50129124820654,,,723.14,2,1,3,6,213,BigSpenders
12408.0,129,5,1356.53,271.306,44.0,305,700.6467718794835,,,1356.53,2,4,4,10,244,Champions
12409.0,66,1,6207.08,6207.08,,66,3205.9523672883784,,6207.08,6207.08,3,1,4,8,314,BigSpenders
12410.0,39,3,589.0,196.33333333333334,107.0,253,304.2180774748924,,-12.25,589.0,3,3,3,9,333,Loyal
12413.0,10,4,595.51,148.8775,78.0,245,307.58048780487803,-9.95,-9.95,595.51,4,4,3,11,443,Champions
12414.0,189,2,276.45,138.22500000000002,123.0,312,142.7862266857963,,,276.45,2,2,2,6,222,Others
12415.0,71,13,43941.93,3380.1484615384616,21.916666666666668,341,22695.975322812053,,81.6,43941.93,3,4,4,11,344,Champions
12417.0,61,7,1491.52,213.0742857142857,36.5,283,770.3690100430415,,-35.38,1491.52,3,4,4,11,344,Champions
12420.0,154,1,616.71,616.71,,154,318.5302725968436,,,616.71,2,1,3,6,213,BigSpenders
12422.0,216,1,147.7,147.7,,216,76.28694404591104,,,147.7,2,1,1,4,211,Others
12423.0,90,4,538.72,134.68,82.66666666666667,339,278.24849354375897,,,538.72,3,4,3,10,343,Champions
12427.0,62,2,580.98,290.49,577.0,639,300.0757532281205,,280.54,280.54,3,2,3,8,323,BigSpenders
12428.0,33,7,5796.39,828.0557142857143,51.166666666666664,342,2993.831276901004,,843.14,5796.39,4,4,4,12,444,Champions
12429.0,455,1,1273.3400000000001,1273.3400000000001,,455,657.6791965566714,,,,1,1,4,6,114,AtRisk
12431.0,3,8,3032.05,379.00625,98.85714285714286,698,1566.051649928264,1083.92,1416.6000000000001,2673.8,4,4,4,12,444,Champions
12433.0,90,5,9120.6,1824.1200000000001,151.5,698,4710.783357245338,,,5333.4800000000005,3,4,4,11,344,Champions
12434.0,251,1,-13.2,-13.2,,251,-6.817790530846485,,,-13.2,1,1,1,3,111,AtRisk
12436.0,336,1,462.96999999999997,462.96999999999997,,336,239.1236728837876,,,462.96999999999997,1,1,3,5,113,AtRisk
12437.0,10,7,2031.51,290.2157142857143,49.833333333333336,312,1049.2734576757532,389.64,389.64,2031.51,4,4,4,12,444,Champions
12441.0,486,1,172.53,172.53,,486,89.1116212338594,,,,1,1,1,3,111,AtRisk
12442.0,182,1,161.04,161.04,,182,83.17704447632711,,,161.04,2,1,1,4,211,Others
12444.0,1,2,1274.84,637.4200000000001,63.0,64,658.4539454806313,678.91,1274.84,1274.84,4,2,4,10,424,Champions
12447.0,68,1,476.49,476.49,,68,246.1067431850789,,476.49,476.49,3,1,3,7,313,BigSpenders
12449.0,93,3,2727.2200000000003,909.0733333333334,106.0,306,1408.607173601148,,,2727.2200000000003,3,3,4,10,334,Champions
12450.0,187,1,96.0,96.0,,187,49.583931133428976,,,96.0,2,1,1,4,211,Others
12451.0,215,2,4949.07,2474.535,4.0,219,2556.191104734576,,,4949.07,2,2,4,8,224,BigSpenders
12455.0,187,3,444.40000000000003,148.13333333333333,46.0,280,229.53228120516496,,,444.40000000000003,2,3,3,8,233,BigSpenders
12457.0,1,4,-24.2,-6.05,101.33333333333333,306,-12.499282639885221,-14.45,-14.45,-24.2,4,4,1,9,441,Loyal
12461.0,126,2,714.1800000000001,357.09,58.0,185,368.8734576757532,,,714.1800000000001,2,2,3,7,223,BigSpenders
12462.0,100,2,651.21,325.605,52.0,152,336.3494978479196,,,651.21,3,2,3,8,323,BigSpenders
12463.0,7,2,342.53,171.265,0.0,7,176.91649928263985,342.53,342.53,342.53,4,2,2,8,422,Others
12464.0,284,1,213.89999999999998,213.89999999999998,,284,110.47919655667144,,,213.89999999999998,1,1,2,4,112,AtRisk
12465.0,302,1,-8.3,-8.3,,302,-4.2869440459110475,,,-8.3,1,1,1,3,111,AtRisk
12468.0,219,1,506.91,506.91,,219,261.8186513629842,,,506.91,1,1,3,5,113,AtRisk
12471.0,1,22,9337.28,424.4218181818182,31.238095238095237,667,4822.698421807747,-1.45,-148.14999999999998,7045.89,4,4,4,12,444,Champions
12472.0,91,7,1608.34,229.76285714285714,100.33333333333333,698,830.7064562410329,,,101.38000000000001,3,4,4,11,344,Champions
12473.0,61,7,583.19,83.31285714285715,46.166666666666664,339,301.2172166427547,,0.0,583.19,3,4,3,10,343,Champions
12474.0,4,8,1045.64,130.705,77.14285714285714,547,540.0723098995696,190.58,710.9,1079.64,4,4,4,12,444,Champions
12476.0,121,4,168.19,42.0475,41.666666666666664,247,86.87001434720229,,,168.19,3,4,1,8,341,Loyal
12477.0,39,4,3317.81,829.4525000000001,101.0,343,1713.6464849354377,,2355.9500000000003,3317.81,3,4,4,11,344,Champions
12478.0,182,1,596.9300000000001,596.9300000000001,,182,308.3139167862267,,,596.9300000000001,2,1,3,6,213,BigSpenders
12479.0,182,2,-49.9,-24.95,30.0,213,-25.77331420373027,,,-49.9,2,2,1,5,221,Others
12480.0,30,2,1945.44,972.72,132.0,163,1004.8183644189382,,1133.27,1945.44,4,2,4,10,424,Champions
12481.0,163,4,2057.33,514.3325,96.66666666666667,455,1062.609469153515,,,1898.97,2,4,4,10,244,Champions
12483.0,36,8,1017.27,127.15875,37.857142857142854,305,525.419225251076,,8.5,1017.27,4,4,4,12,444,Champions
12484.0,153,5,1864.1100000000001,372.822,29.75,276,962.8114777618364,,,1864.1100000000001,2,4,4,10,244,Champions
12489.0,163,1,332.89,332.89,,163,171.93744619799136,,,332.89,2,1,2,5,212,Others
12490.0,97,4,2450.82,612.705,68.0,303,1265.8467718794834,,,2450.82,3,4,4,11,344,Champions
12491.0,334,1,458.36,458.36,,334,236.74261119081777,,,458.36,1,1,3,5,113,AtRisk
12492.0,154,1,135.8,135.8,,154,70.14060258249641,,,135.8,2,1,1,4,211,Others
12494.0,218,4,179.93,44.982499999999995,78.66666666666667,455,92.93371592539454,,,123.35,1,4,1,6,141,Others
12500.0,71,5,690.42,138.084,52.25,283,356.6014347202296,,343.91999999999996,690.42,3,4,3,10,343,Champions
12501.0,163,1,2183.31,2183.31,,163,1127.6780487804876,,,2183.31,2,1,4,7,214,BigSpenders
12502.0,189,4,2789.65,697.4125,31.0,284,1440.8522238163557,,,2789.65,2,4,4,10,244,Champions
12503.0,193,1,-16.98,-16.98,,193,-8.77015781922525,,,-16.98,2,1,1,4,211,Others
12504.0,91,1,446.34,446.34,,91,230.53428981348634,,,446.34,3,1,3,7,313,BigSpenders
12505.0,39,1,-4.5,-4.5,,39,-2.3242467718794835,,-4.5,-4.5,3,1,1,5,311,Others
12507.0,157,2,0.0,0.0,0.0,157,0.0,,,0.0,2,2,1,5,221,Others
12508.0,61,1,275.8,275.8,,61,142.45050215208033,,275.8,275.8,3,1,2,6,312,Others
12512.0,245,2,132.18,66.09,0.0,245,68.27087517934004,,,132.18,1,2,1,4,121,Others
12516.0,5,1,580.14,580.14,,5,299.641893830703,580.14,580.14,580.14,4,1,3,8,413,BigSpenders
12517.0,30,5,2018.29,403.658,69.0,308,1042.445337159254,,501.94,2018.29,4,4,4,12,444,Champions
12518.0,1,3,1200.02,400.00666666666666,44.0,90,619.809469153515,379.02,862.9200000000001,1200.02,4,3,4,11,434,Champions
12519.0,154,1,327.78,327.78,,154,169.29813486370153,,,327.78,2,1,2,5,212,Others
12520.0,38,1,982.32,982.32,,38,507.36757532281206,,982.32,982.32,4,1,3,8,413,BigSpenders
12523.0,10,5,362.52,72.50399999999999,82.25,341,187.24131994261117,102.95,102.95,362.52,4,4,2,10,442,Champions
12524.0,71,4,3008.48,752.12,89.0,340,1553.8777618364416,,348.73,3008.48,3,4,4,11,344,Champions
12526.0,90,2,793.3,396.65,94.0,185,409.7388809182209,,,793.3,3,2,3,8,323,BigSpenders
12528.0,130,2,548.56,274.28,23.0,154,283.33084648493536,,,548.56,2,2,3,7,223,BigSpenders
12530.0,31,3,1181.02,393.67333333333335,66.0,163,609.9959827833572,,448.19,1181.02,4,3,4,11,434,Champions
12532.0,91,1,347.79,347.79,,91,179.63328550932567,,,347.79,3,1,2,6,312,Others
12534.0,337,1,1081.09,1081.09,,337,558.3822094691534,,,1081.09,1,1,4,6,114,AtRisk
12535.0,93,2,716.35,358.17499999999995,94.0,188,369.99426111908167,,,716.35,3,2,3,8,323,BigSpenders
12536.0,31,2,4116.42,2058.21,271.0,302,2126.127977044476,,4289.31,4116.42,4,2,4,10,424,Champions
12538.0,61,1,363.95,363.95,,61,187.9799139167862,,363.95,363.95,3,1,2,6,312,Others
12539.0,71,1,1715.85,1715.85,,71,886.235294117647,,1715.85,1715.85,3,1,4,8,314,BigSpenders
12540.0,40,8,4760.86,595.1075,42.714285714285715,343,2458.9807747489235,,1081.06,4760.86,3,4,4,11,344,Champions
12541.0,61,2,713.36,356.68,191.0,252,368.4499282639885,,411.98,713.36,3,2,3,8,323,BigSpenders
12544.0,61,2,333.66,166.83,213.0,275,172.3351506456241,,-17.0,333.66,3,2,2,7,322,Others
12546.0,245,1,-20.0,-20.0,,245,-10.329985652797703,,,-20.0,1,1,1,3,111,AtRisk
12547.0,252,1,148.38,148.38,,252,76.63816355810616,,,148.38,1,1,1,3,111,AtRisk
12552.0,334,1,50.94,50.94,,334,26.31047345767575,,,50.94,1,1,1,3,111,AtRisk
